@relation text_classification

@attribute 之 real
@attribute 其 real
@attribute 或 real
@attribute 亦 real
@attribute 方 real
@attribute 于 real
@attribute 即 real
@attribute 皆 real
@attribute 因 real
@attribute 仍 real
@attribute 故 real
@attribute 尚 real
@attribute 呢 real
@attribute 了 real
@attribute 的 real
@attribute 着 real
@attribute 一 real
@attribute 不 real
@attribute 乃 real
@attribute 呀 real
@attribute 吗 real
@attribute 咧 real
@attribute 啊 real
@attribute 把 real
@attribute 让 real
@attribute 向 real
@attribute 往 real
@attribute 是 real
@attribute 在 real
@attribute 越 real
@attribute 再 real
@attribute 更 real
@attribute 比 real
@attribute 很 real
@attribute 偏 real
@attribute 别 real
@attribute 好 real
@attribute 可 real
@attribute 便 real
@attribute 就 real
@attribute 但 real
@attribute 儿 real
@attribute 又 real
@attribute 也 real
@attribute 都 real
@attribute 要 real
@attribute 这 real
@attribute 那 real
@attribute 你 real
@attribute 我 real
@attribute 他 real
@attribute 来 real
@attribute 去 real
@attribute 道 real
@attribute 说 real
@attribute classification {0,1,2}

@data
0.000429,0.000214,0.000000,0.000000,0.000214,0.000214,0.000000,0.000000,0.002787,0.000000,0.000214,0.000000,0.010935,0.047384,0.032161,0.007290,0.012221,0.012436,0.000000,0.000643,0.001072,0.000214,0.000429,0.003216,0.000643,0.001286,0.000643,0.008576,0.004503,0.000000,0.000858,0.000429,0.000214,0.000429,0.000214,0.000429,0.002144,0.000429,0.005146,0.005146,0.000214,0.004288,0.009434,0.012007,0.003002,0.004717,0.009648,0.004503,0.015652,0.018225,0.013722,0.006432,0.008791,0.012221,0.010720,1
0.000500,0.000250,0.000500,0.000000,0.000250,0.000750,0.000000,0.000000,0.001000,0.000500,0.000000,0.000250,0.003751,0.038760,0.034259,0.008252,0.007002,0.007002,0.000000,0.000500,0.000000,0.000250,0.001000,0.003751,0.000000,0.000000,0.000500,0.010253,0.007252,0.000000,0.001000,0.000750,0.000000,0.001000,0.000500,0.001000,0.003501,0.000250,0.014754,0.004001,0.000250,0.001750,0.005501,0.012003,0.003751,0.004751,0.005751,0.005501,0.007002,0.019255,0.013503,0.010253,0.007252,0.010253,0.018755,1
0.001327,0.000332,0.000000,0.000663,0.000663,0.000000,0.000995,0.000332,0.000332,0.000663,0.000000,0.000000,0.000663,0.020896,0.027197,0.007297,0.006633,0.007297,0.000000,0.000000,0.000000,0.000000,0.000000,0.002653,0.000332,0.000332,0.000663,0.006633,0.008955,0.000000,0.001658,0.000000,0.000000,0.000663,0.000000,0.000000,0.006633,0.000663,0.008292,0.006302,0.001658,0.000995,0.005307,0.009287,0.002653,0.001658,0.002985,0.000995,0.002985,0.008624,0.003980,0.004643,0.006302,0.004312,0.014594,1
0.001404,0.000000,0.000000,0.001404,0.000000,0.000561,0.000561,0.000000,0.001123,0.000281,0.000000,0.000000,0.001684,0.029197,0.037900,0.007299,0.006457,0.007019,0.000000,0.000281,0.000281,0.000000,0.000000,0.000561,0.000000,0.000000,0.001404,0.011791,0.004773,0.000000,0.001965,0.001123,0.001404,0.000281,0.000000,0.000842,0.001965,0.000842,0.007580,0.003369,0.000561,0.005334,0.008984,0.008984,0.005053,0.002246,0.007861,0.001404,0.009264,0.013756,0.013476,0.003930,0.006738,0.004773,0.007019,1
0.001137,0.000000,0.000000,0.000000,0.000000,0.000000,0.001137,0.000000,0.002085,0.000948,0.000000,0.000379,0.001896,0.046445,0.028626,0.007583,0.010616,0.007204,0.000000,0.000190,0.000569,0.000379,0.000569,0.002464,0.000379,0.000379,0.000379,0.009479,0.007204,0.000569,0.000758,0.000379,0.000758,0.000758,0.000000,0.001137,0.004739,0.000379,0.010047,0.007204,0.000379,0.009668,0.009289,0.014408,0.003412,0.004550,0.005687,0.001896,0.014787,0.020095,0.012133,0.006635,0.007962,0.009479,0.011374,1
0.000936,0.000000,0.000000,0.000000,0.000234,0.000000,0.000468,0.000000,0.001872,0.000702,0.000000,0.000000,0.005149,0.048444,0.038381,0.004447,0.011233,0.007021,0.000234,0.000234,0.000702,0.000468,0.000234,0.002574,0.000234,0.000234,0.000468,0.010999,0.010063,0.000000,0.000468,0.001638,0.000468,0.000234,0.000234,0.000234,0.001170,0.000936,0.011935,0.003042,0.000468,0.003042,0.007489,0.011935,0.006085,0.002340,0.003042,0.001872,0.011233,0.010765,0.013340,0.006553,0.008191,0.008425,0.008191,1
0.000758,0.000253,0.000000,0.000253,0.000000,0.000000,0.000253,0.000000,0.002275,0.000000,0.000000,0.000000,0.006572,0.042467,0.034631,0.007583,0.010870,0.008595,0.000000,0.000758,0.000506,0.000253,0.000000,0.001264,0.000000,0.000253,0.000506,0.011122,0.008595,0.000000,0.000506,0.000506,0.000506,0.000506,0.000000,0.000253,0.002275,0.000506,0.009100,0.006067,0.000253,0.001517,0.009353,0.015672,0.003033,0.003539,0.006825,0.002022,0.015672,0.023509,0.013903,0.008595,0.008342,0.011628,0.017442,1
0.000772,0.000257,0.000000,0.000000,0.000257,0.000000,0.000257,0.000000,0.001802,0.000000,0.000257,0.000000,0.005664,0.041710,0.031668,0.005149,0.008239,0.009526,0.000000,0.000000,0.000000,0.000257,0.000257,0.001802,0.000515,0.000000,0.000515,0.012101,0.005664,0.000000,0.000515,0.001545,0.001802,0.000000,0.000000,0.000257,0.004892,0.000515,0.011586,0.005922,0.000257,0.001030,0.006694,0.016993,0.003347,0.005149,0.005664,0.006437,0.006179,0.013903,0.011586,0.009011,0.004634,0.013646,0.011071,1
0.000000,0.000000,0.000454,0.000227,0.000000,0.000000,0.000227,0.000454,0.000909,0.000454,0.000227,0.000227,0.004544,0.051579,0.034992,0.005908,0.006362,0.011588,0.000000,0.000227,0.000909,0.000227,0.000000,0.003636,0.000227,0.000454,0.000227,0.010225,0.005908,0.000000,0.000227,0.000909,0.000909,0.000454,0.000000,0.000454,0.003181,0.000000,0.007953,0.007498,0.000000,0.003181,0.008180,0.012043,0.003863,0.005681,0.004999,0.005453,0.010225,0.013179,0.020677,0.006817,0.007044,0.016587,0.014315,1
0.000365,0.000000,0.000000,0.000365,0.000000,0.000000,0.000182,0.000000,0.000365,0.000547,0.000000,0.000000,0.004194,0.049781,0.036287,0.006382,0.008388,0.009117,0.000000,0.000000,0.000182,0.000000,0.000182,0.002006,0.000000,0.000000,0.000000,0.012947,0.004194,0.000000,0.001641,0.000912,0.000182,0.001094,0.000000,0.000912,0.001823,0.000729,0.009482,0.004194,0.000547,0.004012,0.008023,0.012764,0.004741,0.003282,0.006200,0.002006,0.006747,0.009482,0.009117,0.005653,0.007294,0.009664,0.010941,1
0.012749,0.003586,0.000000,0.000398,0.000797,0.003586,0.001195,0.001594,0.002789,0.000000,0.001594,0.000000,0.000000,0.003984,0.000000,0.000000,0.011155,0.003586,0.002789,0.000000,0.000000,0.000000,0.000000,0.000797,0.000398,0.000000,0.001594,0.000797,0.003187,0.000000,0.000398,0.000797,0.000000,0.000000,0.000000,0.000398,0.001594,0.001594,0.001594,0.001195,0.000797,0.000797,0.001992,0.004382,0.000000,0.001195,0.000398,0.000000,0.000000,0.006773,0.001594,0.003187,0.002390,0.000797,0.001195,2
0.017707,0.003728,0.000000,0.001864,0.000000,0.003262,0.003728,0.003262,0.000932,0.000000,0.000932,0.000000,0.000000,0.002796,0.000000,0.000466,0.008388,0.007922,0.005126,0.000000,0.000000,0.000000,0.000000,0.000466,0.000000,0.000000,0.002330,0.005126,0.003728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000466,0.000466,0.001864,0.003728,0.000466,0.000466,0.000000,0.000932,0.004660,0.000932,0.000466,0.000000,0.000000,0.000000,0.006990,0.000466,0.005126,0.006524,0.000466,0.001398,2
